id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,,
1400000US47009010500,,"Census Tract 105, Blount County, Tennessee",52,49,0,58,9,0,0,0,18,0,38,24,289,34,35,0,74,8,9,0,0,0,16,69,44,231,0,7,0,95,0,32,0,0,13,52,6,26,409.61,67.89,83.5,207,768,,
1400000US47009010600,,"Census Tract 106, Blount County, Tennessee",43,12,0,0,42,0,0,0,0,17,113,11,237,0,0,0,7,51,35,0,15,33,19,10,67,253,7,0,0,0,76,0,0,7,12,0,23,128,124.77,192.73,58.5,352,728,,
1400000US47009010700,,"Census Tract 107, Blount County, Tennessee",23,15,0,0,9,29,0,18,47,78,18,41,530,36,20,0,0,95,90,21,31,26,97,40,74,489,0,41,16,7,37,43,0,14,104,61,66,100,204.53,428.97,324.5,339,1297,,
1400000US47009010800,,"Census Tract 108, Blount County, Tennessee",56,0,33,0,0,58,9,0,20,0,0,22,179,36,0,0,0,0,40,9,0,19,19,56,0,115,17,0,13,0,0,16,0,0,8,27,0,34,155,155.5,69.5,112,492,,
1400000US47009010900,,"Census Tract 109, Blount County, Tennessee",101,17,17,0,14,0,22,40,76,69,75,13,598,95,16,17,155,26,0,22,34,50,43,94,46,741,30,17,0,12,0,0,16,16,159,188,122,181,490.2,319.3,442.5,531,1783,,
1400000US47009011001,,"Census Tract 110.01, Blount County, Tennessee",56,0,80,0,55,0,0,55,20,24,28,73,484,0,0,73,0,16,0,19,53,191,89,26,17,514,31,0,75,0,0,0,39,19,136,135,38,41,338.43,406.07,421.5,223,1389,,
1400000US47009011002,,"Census Tract 110.02, Blount County, Tennessee",45,19,0,7,0,8,0,0,92,19,17,19,238,23,0,0,0,10,8,10,9,105,48,9,16,315,68,32,0,0,10,7,11,11,107,38,8,23,200.6,229.4,257,92,779,,
1400000US47009011101,,"Census Tract 111.01, Blount County, Tennessee",0,0,41,0,12,0,0,0,69,9,0,16,366,16,117,15,21,16,14,11,0,66,35,45,10,419,0,23,14,0,18,0,0,0,126,87,65,86,262.18,186.32,261.5,222,932,,
1400000US47009011102,,"Census Tract 111.02, Blount County, Tennessee",123,46,0,0,9,0,0,0,197,22,49,48,567,81,0,0,0,9,0,0,0,138,124,75,140,796,18,0,0,0,31,0,0,14,152,175,181,225,284.17,290.33,564.5,718,1857,,
1400000US47009011200,,"Census Tract 112, Blount County, Tennessee",95,11,20,180,44,13,0,104,246,30,116,16,705,17,12,0,75,33,186,0,60,170,66,61,25,588,12,0,0,33,15,0,0,13,136,187,120,72,485.36,713.64,559,410,2168,,
