id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,,
1400000US05007020404,,"Census Tract 204.04, Benton County, Arkansas",0,10,66,60,10,47,15,33,103,0,0,72,402,0,26,10,70,0,83,0,60,88,37,21,7,462,7,7,0,40,40,123,5,0,95,15,41,89,346,411.76,292.24,230,1280,,
1400000US05007020405,,"Census Tract 204.05, Benton County, Arkansas",7,0,24,0,0,0,0,8,24,0,172,65,332,7,0,0,0,35,8,0,15,10,38,21,198,378,0,0,0,0,23,34,9,0,56,41,33,182,96,88.4,154.6,671,1010,,
1400000US05007020501,,"Census Tract 205.01, Benton County, Arkansas",88,54,0,0,44,0,12,0,176,21,25,228,680,0,26,0,0,21,27,0,0,127,10,167,302,324,2,0,0,0,0,21,0,0,10,96,20,175,235,110.08,389.92,917,1652,,
1400000US05007020503,,"Census Tract 205.03, Benton County, Arkansas",39,8,28,29,22,26,43,19,64,27,31,0,476,99,8,28,4,44,0,91,18,18,36,80,50,362,48,8,53,11,28,6,114,0,16,11,35,32,457,332.68,156.32,228,1174,,
1400000US05007020504,,"Census Tract 205.04, Benton County, Arkansas",130,0,0,29,33,42,0,0,27,48,0,45,326,31,0,0,14,0,7,18,0,128,77,0,51,221,0,0,39,9,0,13,10,0,31,28,6,85,285,119.76,309.24,187,901,,
1400000US05007020603,,"Census Tract 206.03, Benton County, Arkansas",0,0,15,0,43,36,0,0,163,219,129,197,849,56,0,0,0,0,0,0,83,161,141,111,297,860,0,40,0,15,0,0,0,0,100,156,243,306,169,186.84,872.16,1283,2511,,
1400000US05007020604,,"Census Tract 206.04, Benton County, Arkansas",61,0,0,38,0,66,0,24,67,56,38,11,212,0,20,0,0,24,0,0,12,53,17,10,76,283,2,0,22,0,3,0,0,0,40,33,22,161,170,127.6,240.4,318,856,,
1400000US05007020605,,"Census Tract 206.05, Benton County, Arkansas",0,14,9,13,24,0,0,6,40,20,15,98,455,0,13,9,11,0,7,10,30,38,14,86,237,363,0,18,10,0,0,21,0,73,80,23,41,97,121,172.28,189.72,574,1057,,
1400000US05007020606,,"Census Tract 206.06, Benton County, Arkansas",0,0,0,0,0,0,0,0,6,0,6,179,269,0,0,8,0,0,0,0,0,6,14,74,167,508,7,0,13,0,0,63,0,0,43,25,38,319,28,71.8,85.2,783,968,,
1400000US05007020701,,"Census Tract 207.01, Benton County, Arkansas",26,0,0,0,11,20,10,0,125,9,23,136,446,38,0,0,50,24,10,0,0,115,9,155,45,578,33,0,0,46,23,55,0,0,97,40,218,66,251,148.92,341.08,643,1384,,
