State_FIPS_Code,State,County,State_County_Tract_FIPS_Code,Primary_RUCA_Code,Secondary_RUCA_Code,Tract_Population,Land_Area,Population_Density
8013,CO,Boulder County,8013012202,1,1.0,5847,0.634766261465304,9211.2646102
8013,CO,Boulder County,8013012203,1,1.0,6081,2.50097606629838,2431.4506972
8013,CO,Boulder County,8013012204,1,1.0,3556,0.538150755910838,6607.813816
8013,CO,Boulder County,8013012300,1,1.0,6196,0.548155821571374,11303.35528
8013,CO,Boulder County,8013012401,1,1.0,5699,0.431412423532464,13210.097088
8013,CO,Boulder County,8013012501,1,1.0,2451,1.31822502652522,1859.3183642
8013,CO,Boulder County,8013012505,1,1.0,4102,5.82159955953464,704.61734066
8013,CO,Boulder County,8013012507,1,1.0,4202,0.632893279814424,6639.3500042
8013,CO,Boulder County,8013012508,1,1.0,2833,1.3548128408317,2091.0637356
8013,CO,Boulder County,8013012509,1,1.0,3247,0.681378446541065,4765.3400493
8013,CO,Boulder County,8013012510,1,1.0,4316,19.5690898953972,220.55190216
8013,CO,Boulder County,8013012511,1,1.0,6265,0.745918513908173,8399.0407574
8013,CO,Boulder County,8013012603,1,1.0,3384,0.671917398845091,5036.3333437
8013,CO,Boulder County,8013012605,1,1.0,1529,0.476219194837968,3210.706365
8013,CO,Boulder County,8013012607,1,1.0,4258,0.277336806193697,15353.173127
8013,CO,Boulder County,8013012608,1,1.0,2239,0.345738667515062,6475.9895562
8013,CO,Boulder County,8013012701,1,1.0,5448,18.0313252416614,302.1408536
8013,CO,Boulder County,8013012705,1,1.0,3507,1.69088891531544,2074.0570053
8013,CO,Boulder County,8013012707,1,1.0,2194,11.7562702993219,186.62381386
8013,CO,Boulder County,8013012708,1,1.0,5123,2.17157183739847,2359.1206663
8013,CO,Boulder County,8013012709,1,1.0,1811,3.74785944954185,483.20915562
8013,CO,Boulder County,8013012710,1,1.0,3685,7.41089340954475,497.24099327
8013,CO,Boulder County,8013012800,1,1.0,10822,15.2085766420539,711.57217764
8013,CO,Boulder County,8013012903,1,1.0,2195,1.49637951990511,1466.8738584
8013,CO,Boulder County,8013012904,1,1.0,5156,1.21607242967921,4239.8790353
8013,CO,Boulder County,8013012905,1,1.0,2481,0.5136043101358,4830.5669385
8013,CO,Boulder County,8013012907,1,1.0,2922,2.50713130717208,1165.4754546
8013,CO,Boulder County,8013013003,1,1.0,5452,4.73085550975526,1152.4342666
8013,CO,Boulder County,8013013004,1,1.0,3414,0.776459968154293,4396.8783196
8013,CO,Boulder County,8013013005,1,1.0,3084,0.745934344097347,4134.4121294
8013,CO,Boulder County,8013013006,1,1.0,5304,1.24389302189817,4264.0322814
8013,CO,Boulder County,8013013201,2,2.0,1531,22.6047688251837,67.729071323
8013,CO,Boulder County,8013013202,2,2.0,1375,24.4510719740786,56.234753284
8013,CO,Boulder County,8013013205,1,1.0,5078,8.81188213999447,576.26735348
8013,CO,Boulder County,8013013207,1,1.0,4276,2.1087371833383,2027.7538774
8013,CO,Boulder County,8013013208,1,1.0,5755,1.24669226266685,4616.2153824
8013,CO,Boulder County,8013013210,1,1.0,5032,2.15963008322818,2330.0286651
8013,CO,Boulder County,8013013211,1,1.0,5612,20.2308412239748,277.39825239
8013,CO,Boulder County,8013013212,1,1.0,4345,3.27269392753943,1327.6524161
8013,CO,Boulder County,8013013213,1,1.0,7271,7.79767164944394,932.45783189
8013,CO,Boulder County,8013013302,1,1.0,5132,1.45703300555833,3522.2263191
8013,CO,Boulder County,8013013305,1,1.0,4859,0.758954481642386,6402.2284834
8013,CO,Boulder County,8013013306,1,1.0,4589,0.767688112840677,5977.6879741
8013,CO,Boulder County,8013013307,1,1.0,3604,0.75399577140898,4779.8676553
8013,CO,Boulder County,8013013308,1,1.0,3465,0.758285752675302,4569.5174778
8013,CO,Boulder County,8013013401,1,1.0,3275,1.21839251764873,2687.9679188
8013,CO,Boulder County,8013013402,1,1.0,7573,2.18352749124706,3468.241197
8013,CO,Boulder County,8013013503,1,1.0,5478,0.753056384817227,7274.3556929
8013,CO,Boulder County,8013013505,1,1.0,3831,0.499197293578194,7674.3204526
8013,CO,Boulder County,8013013506,1,1.0,4058,1.00242510776112,4048.1827207
8013,CO,Boulder County,8013013507,1,1.0,3397,0.754474538105968,4502.4713604
