IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,hygienist_for_general_med,hygienist_for_general_chip,hygienist_for_pediatric_med,hygienist_for_pediatric_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1003 E BALTIMORE PIKE,MEDIA,PA,19063-5135",,2.5486111111111107,,1.0,,0.1111111111111111,,5.097222222222221,,2.0,,,39.91542748,-75.42339893,,,0.0,1.0
"1004 HARRISON CITY EXPORT RD,HARRISON CITY,PA,15636-1340",,0.5,,0.0,,0.0,,1.0,,0.0,,,40.35522929,-79.64873532,,,0.0,1.0
"1006 LOGAN AVE,TYRONE,PA,16686-1522",,2.0,,0.0,,0.0,,4.0,,0.0,,,40.67101299,-78.23966729,,,0.0,1.0
"1007 W MAIN ST,GROVE CITY,PA,16127-1011",,0.08333333333333333,,0.0,,0.0,,0.16666666666666666,,0.0,,,41.16437361,-80.09930327,,,0.0,1.0
"1009 BEAVER GRADE RD STE 300,CORAOPOLIS,PA,15108-2969",,2.0,,0.0,,0.0,,4.0,,0.0,,,40.50395217,-80.20601585,,,0.0,1.0
"1009 VALLEY FORGE RD,NORRISTOWN,PA,19403-1022",,0.5,,0.0,,0.0,,1.0,,0.0,,,40.16250186,-75.37909487,,,0.0,1.0
"101 5TH ST,ELLWOOD CITY,PA,16117-2363",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.86144925,-80.28730364,,,0.0,1.0
"101 BALA AVE,BALA CYNWYD,PA,19004-3307",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.00345019,-75.23131916,,,0.0,1.0
"101 BELLEVUE RD,PITTSBURGH,PA,15229-2125",,0.5,,0.0,,0.0,,1.0,,0.0,,,40.51400322,-80.03069918,,,0.0,1.0
"101 COLLEGE PARK PLZ,JOHNSTOWN,PA,15904-2831",,0.0,,0.0,,3.0,,0.0,,0.0,,,40.27657498,-78.84852379,,,0.0,1.0
"101 DORSET AVE,CROYDON,PA,19021-6224",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.09470714,-74.90214353,,,0.0,1.0
"101 DRAKE RD,PITTSBURGH,PA,15241-1556",,0.2,,1.0,,0.0,,0.4,,2.0,,,40.32626551,-80.0648743,,,0.0,1.0
"101 DUTTON ST,RIDLEY PARK,PA,19078-2308",,0.0,,0.0,,1.3333333333333333,,0.0,,0.0,,,39.87889337,-75.32181932,,,0.0,1.0
"101 E BROAD ST,RIMERSBURG,PA,16248",,0.5,,0.0,,0.0,,1.0,,0.0,,,41.04178878,-79.50073176,,,0.0,1.0
"101 E CENTER ST,NESQUEHONING,PA,18240-1606",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.864469899999996,-75.8085149,,,0.0,1.0
"101 E LEHIGH AVE STE 103,PHILADELPHIA,PA,19125-1011",,1.0,,0.0,,0.0,,2.0,,0.0,,,39.9909104,-75.13072835,,,0.0,1.0
"101 HOSPITAL AVE,DU BOIS,PA,15801-1439",,2.0,,0.0,,0.0,,4.0,,0.0,,,41.113972,-78.77518829,,,0.0,1.0
"101 JOHN ROBERT THOMAS DR,EXTON,PA,19341",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.02610768,-75.64089557,,,0.0,1.0
"101 JOHN ROBERT THOMAS DR,EXTON,PA,19341-2652",,1.5,,0.0,,0.0,,3.0,,0.0,,,40.02610768,-75.64089557,,,0.0,1.0
"101 LOUDON RD,MERCERSBURG,PA,17236-1719",,5.0,,0.0,,0.5,,10.0,,0.0,,,39.83546229,-77.90300973,,,0.0,1.0
"101 N MEADOWS DR STE 121,WEXFORD,PA,15090-8368",,0.5,,0.0,,0.0,,1.0,,0.0,,,40.61216653,-80.05573019,,,0.0,1.0
"101 OAK RIDGE DR,BUTLER,PA,16002-4901",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.81404344,-79.92704219,,,0.0,1.0
"101 OAK ST,WARREN,PA,16365-2839",,1.0,,0.0,,0.0,,2.0,,0.0,,,41.8416292,-79.13983984,,,0.0,1.0
"101 OLD YORK RD STE 401,JENKINTOWN,PA,19046-3912",,0.5,,0.0,,0.0,,1.0,,0.0,,,40.09297287,-75.12532471,,,0.0,1.0
