IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,hygienist_for_general_med,hygienist_for_general_chip,hygienist_for_pediatric_med,hygienist_for_pediatric_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"356 N POTTSTOWN PIKE # 100,EXTON,PA,19341-2220",0.5,,0.0,,0.0,,1.0,,0.0,,40.04087324,-75.63376999,,,1.0,0.0,,
"356 N POTTSTOWN PIKE STE 100,EXTON,PA,19341-2220",0.5,,0.0,,0.0,,1.0,,0.0,,40.04087324,-75.63376999,,,1.0,0.0,,
"3564 HEINDEL RD,YORK,PA,17402-8624",0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,39.98947299,-76.65296184,,,1.0,0.0,,
"3565 ROUTE 611 STE 2,BARTONSVILLE,PA,18321-7800",0.0,0.3333333333333333,1.6999999999999995,1.6666666666666663,0.0,0.0,0.0,0.6666666666666666,3.399999999999999,3.3333333333333326,41.00213534,-75.27286868,41.00213534,-75.27286868,1.0,0.0,0.0,1.0
"3565 ROUTE 611,BARTONSVILLE,PA,18321-7800",0.0,0.3333333333333333,1.0333333333333332,0.5,0.0,0.0,0.0,0.6666666666666666,2.0666666666666664,1.0,41.00214557,-75.27287123,41.00214557,-75.27287123,1.0,0.0,0.0,1.0
"357 S GULPH RD STE 1,KING OF PRUSSIA,PA,19406-3136",0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,40.08012312,-75.37094931,,,1.0,0.0,,
"357 S GULPH RD STE 100,KING OF PRUSSIA,PA,19406-3174",2.1182616986188414,5.620151828847481,0.8333333333333333,2.9880092130092133,0.0,2.083333333333333,4.236523397237683,11.240303657694962,1.6666666666666663,5.9760184260184275,40.08012312,-75.37094931,40.08012312,-75.37094931,1.0,0.0,0.0,1.0
"357 S GULPH RD,KING OF PRUSSIA,PA,19406-3136",2.5353535353535355,1.6261904761904762,0.625,1.5213425463425465,0.0,2.25,5.070707070707072,3.2523809523809524,1.25,3.0426850926850935,40.08012312,-75.37094931,40.08012312,-75.37094931,1.0,0.0,0.0,1.0
"358 E WYOMING AVE,PHILADELPHIA,PA,19120-4435",2.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,40.02081962,-75.11872348,40.02081962,-75.11872348,1.0,0.0,0.0,1.0
"35B WOODLAND AVE,MORTON,PA,19070",0.4878433380312198,0.7749119210894351,0.02,0.022727272727272728,0.27026351454740205,0.26108577269291555,0.9756866760624396,1.54982384217887,0.04,0.045454545454545456,39.90908723,-75.32840757,39.90908723,-75.32840757,1.0,0.0,0.0,1.0
"360 KIDDER ST STE 5,WILKES BARRE,PA,18702-5619",1.3333333333333333,,0.0,,0.0,,2.6666666666666665,,0.0,,41.2499659,-75.85616747,,,1.0,0.0,,
"360 KIDDER ST STE 5A,WILKES BARRE,PA,18702-5619",0.5,,0.0,,0.0,,1.0,,0.0,,41.2499659,-75.85616747,,,1.0,0.0,,
"360 KIDDER ST,BEAR CREEK TOWNSHIP,PA,18702-5619",1.3333333333333333,,0.0,,0.0,,2.6666666666666665,,0.0,,41.2499659,-75.85616747,,,1.0,0.0,,
"360 KIDDER ST,WILKES BARRE,PA,18702-5619",0.8333333333333333,5.0,0.0,0.0,0.0,0.0,1.6666666666666663,10.0,0.0,0.0,41.2499659,-75.85616747,41.2499659,-75.85616747,1.0,0.0,0.0,1.0
