IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,hygienist_for_general_med,hygienist_for_general_chip,hygienist_for_pediatric_med,hygienist_for_pediatric_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"10154 WOODBURY DR,WEXFORD,PA,15090-9580",1.0,0.6384615384615384,0.0,0.0,0.0,1.0,2.0,1.2769230769230768,0.0,0.0,40.59639056,-80.05841578,40.59639056,-80.05841578,1.0,0.0,0.0,1.0
"1016 HEDY LYNN DR,IRWIN,PA,15642-1729",0.5,0.6,0.0,0.0,0.0,0.0,1.0,1.2,0.0,0.0,40.33235435,-79.76648224,40.33235435,-79.76648224,1.0,0.0,0.0,1.0
"1016 HEDY LYNN DR,NORTH HUNTINGDON,PA,15642-1729",0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,40.33235435,-79.76648224,40.33235435,-79.76648224,1.0,0.0,0.0,1.0
"102 BUTE RD,UNIONTOWN,PA,15401-5544",1.5,1.5,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,39.91529506,-79.70847993,39.91529506,-79.70847993,1.0,0.0,0.0,1.0
"1020 GREEN AVE,ALTOONA,PA,16601-4623",8.06111111111111,21.15995670995671,1.0,0.0,0.0,0.0,16.12222222222222,42.31991341991342,2.0,0.0,40.51724334,-78.39897377,40.51724334,-78.39897377,1.0,0.0,0.0,1.0
"1020 W BROAD ST,BETHLEHEM,PA,18018-5024",1.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,40.62260352,-75.39723072,40.62260352,-75.39723072,1.0,0.0,0.0,1.0
"1022 E BALTIMORE PIKE,MEDIA,PA,19063-5197",0.2684289941197201,0.8498649493879991,0.4238713382893749,0.5190893926009514,0.0,0.0,0.5368579882394402,1.6997298987759981,0.8477426765787498,1.0381787852019029,39.91536534,-75.42273464,39.91536534,-75.42273464,1.0,0.0,0.0,1.0
"10261 CENTER HWY,IRWIN,PA,15642-2054",1.0,0.8333333333333333,0.0,0.0,0.0,0.0,2.0,1.6666666666666663,0.0,0.0,40.32794406,-79.71253658,40.32794406,-79.71253658,1.0,0.0,0.0,1.0
"10261 CENTER HWY,NORTH HUNTINGDON,PA,15642-2054",0.5,1.8333333333333333,0.0,0.0,0.0,0.0,1.0,3.6666666666666665,0.0,0.0,40.32794406,-79.71253658,40.32794406,-79.71253658,1.0,0.0,0.0,1.0
"1028 N 19TH ST,ALLENTOWN,PA,18104-3762",0.0,0.6000000000000001,0.0,0.0,1.1333333333333333,1.8428571428571423,0.0,1.2000000000000002,0.0,0.0,40.61074041,-75.50374216,40.61074041,-75.50374216,1.0,0.0,0.0,1.0
"1029 QUENTIN RD,LEBANON,PA,17042-6931",1.0,0.2060897435897436,0.0,0.0,0.0,0.0,2.0,0.4121794871794872,0.0,0.0,40.32381356,-76.42570558,40.32381356,-76.42570558,1.0,0.0,0.0,1.0
"103 E MAIN ST,SCHUYLKILL HAVEN,PA,17972-1240",0.0,0.6736111111111109,0.0,0.0,0.5,1.4535464535464535,0.0,1.3472222222222219,0.0,0.0,40.6302318,-76.17183316,40.6302318,-76.17183316,1.0,0.0,0.0,1.0
"103 EVANS CITY RD,BUTLER,PA,16001-2601",0.4124930624930625,2.167551892551893,0.0,0.0,0.2148148148148148,0.7158119658119658,0.8249861249861249,4.335103785103786,0.0,0.0,40.86864271,-79.92597402,40.86864271,-79.92597402,1.0,0.0,0.0,1.0
