idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator,hygienist_for_general,hygienist_for_pediatric
91,"100 S BROAD ST STE 1530,PHILADELPHIA,PA,19110-1026",0.07692307692307693,0.0,0.2047619047619048,39.95046233,-75.16406604,0,1,0.15384615384615385,0.0
92,"100 S BROAD ST,PHILADELPHIA,PA,19110-1023",0.07692307692307693,0.0,0.2047619047619048,39.95046233,-75.16406604,0,1,0.15384615384615385,0.0
93,"100 S EAGLE RD,HAVERTOWN,PA,19083-3202",0.0,0.0,1.0,39.97075151,-75.32019854,0,1,0.0,0.0
94,"100 STATE ST STE B102,ERIE,PA,16507-1462",0.0,0.0,0.6666666666666666,42.13375981,-80.08815885,0,1,0.0,0.0
95,"100 STOOPS DR STE 260,MONONGAHELA,PA,15063-3553",2.5,0.0,0.0,40.16249444,-79.92333368,0,1,5.0,0.0
96,"100 STOOPS DR,MONONGAHELA,PA,15063-3553",0.5,0.0,0.0,40.16249444,-79.92333368,0,1,1.0,0.0
97,"100 W MAIN ST STE 200,LANSDALE,PA,19446-2030",0.0,0.0,1.0,40.24246206,-75.28536776,0,1,0.0,0.0
98,"100 WILHAVEN RD STE 101,CANONSBURG,PA,15317-3094",0.0,0.0,1.0,40.28736267,-80.1162971,0,1,0.0,0.0
99,"100 WILSON RD,BENTLEYVILLE,PA,15314-1028",0.3333333333333333,0.0,0.0,40.12753997,-80.00328535,0,1,0.6666666666666666,0.0
100,"1000 BROOKTREE RD STE 101,WEXFORD,PA,15090-9286",1.0,0.0,0.0,40.61588643,-80.05680193,0,1,2.0,0.0
101,"1000 BROOKTREE RD STE 200,WEXFORD,PA,15090-9286",0.0,0.0,4.0,40.61588643,-80.05680193,0,1,0.0,0.0
102,"1000 BROOKTREE RD,WEXFORD,PA,15090-9286",1.0,0.0,2.0,40.61588643,-80.05680193,0,1,2.0,0.0
103,"1000 COMMERCE DR FL 3,MOON TOWNSHIP,PA,15108-4739",1.0,0.0,0.0,40.50427486,-80.21176802,0,1,2.0,0.0
104,"1000 E MOUNTAIN DR,WILKES BARRE,PA,18711-0027",0.0,0.2,0.3333333333333333,41.25683849,-75.81176496,0,1,0.0,0.4
105,"1000 E WALNUT ST STE 204,PERKASIE,PA,18944-5462",0.0,0.0,0.2,40.35256486,-75.27591864,0,1,0.0,0.0
106,"1000 EAST MOUNTAIN BLVD,DANVILLE,PA,17822-0001",0.0,0.2,0.5,40.969734,-76.60175299,0,1,0.0,0.4
107,"1000 EASTON RD STE 315,WYNCOTE,PA,19095-2900",1.5295065731666098,0.05606060606060606,0.08116883116883117,40.08288057,-75.17072139,0,1,3.0590131463332195,0.11212121212121212
108,"1000 EASTON RD,WYNCOTE,PA,19095-2918",2.9186202602641678,0.0930976430976431,0.0,40.08288057,-75.17072139,0,1,5.8372405205283355,0.1861952861952862
109,"1000 GAMMA DR STE 108,PITTSBURGH,PA,15238-2923",0.0,0.0,1.5,40.49984015,-79.86638443,0,1,0.0,0.0
110,"1000 GAMMA DR STE 620,PITTSBURGH,PA,15238-2928",1.0,0.0,0.0,40.49984015,-79.86638443,0,1,2.0,0.0
111,"1000 GERMANTOWN PIKE STE F4,PLYMOUTH MEETING,PA,19462-2486",0.5,0.0,0.0,40.13074253,-75.29656415,0,1,1.0,0.0
112,"1000 GERMANTOWN PIKE,PLYMOUTH MEETING,PA,19462-2480",0.5,0.0,0.0,40.12914381,-75.29986916,0,1,1.0,0.0
113,"1000 JACKSON ST,PHILADELPHIA,PA,19148-3011",2.0,0.0,0.0,39.92226263,-75.16325679,0,1,4.0,0.0
114,"1000 ROHRERSTOWN RD,LANCASTER,PA,17601-2402",0.0,0.0,3.0,40.05940192,-76.35997571,0,1,0.0,0.0
115,"10000 ROOSEVELT BLVD STE 3,PHILADELPHIA,PA,19116-3904",0.07142857142857142,0.0,0.0,40.1050299,-75.00176655,0,1,0.14285714285714285,0.0
116,"1001 E 2ND ST,COUDERSPORT,PA,16915-8161",0.5,0.0,0.0,41.77067088,-77.97970725,0,1,1.0,0.0
