idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,hygienist_for_general,hygienist_for_pediatric
3510," 376 LONGVIEW ROAD,-,-,BOYERTOWN,PENNSYLVANIA,19512",1.0,0.0,0.0,11.0,40.34691710000001,40.34691710000001,2.0,0.0
3511," 376 MARILYN RD,-,-,WARMINSTER,PENNSYLVANIA,18974",1.0,0.0,0.0,17.0,40.18985344,40.18985344,2.0,0.0
3512," 3764 GERMANTOWN PIKE,APT 2,-,COLLEGEVILLE,PENNSYLVANIA,19426",1.0,0.0,0.0,91.0,40.18048704,40.18048704,2.0,0.0
3513," 3768 CARRINGTON CIR,-,-,EASTON,PENNSYLVANIA,18045",1.0,0.0,0.0,95.0,40.67798533,40.67798533,2.0,0.0
3514," 377 MAIDEN LANE ,-,-,KING OF PRUSSIA,PENNSYLVANIA,19406",1.0,0.0,0.0,91.0,40.09897751,40.09897751,2.0,0.0
3515," 377 YORKTOWN ROAD,-,-,HERSHEY,PENNSYLVANIA,17033",1.0,0.0,0.0,43.0,40.25918562,40.25918562,2.0,0.0
3516," 378 STONEYLONESOME RD,-,-,STAHLSTOWN,PENNSYLVANIA,15687",1.0,0.0,0.0,129.0,40.15368914,40.15368914,2.0,0.0
3517," 3783 CHURCHVIEW AVENUE,EXTENSION A-18,-,PITTSBURGH,PENNSYLVANIA,15236",0.0,0.0,1.0,3.0,40.34741182,40.34741182,0.0,0.0
3518," 3785 LINK DRIVE,-,-,GARNET VALLEY,PENNSYLVANIA,19060",1.0,0.0,0.0,45.0,39.83638826,39.83638826,2.0,0.0
3519," 379 HARSHAW DRIVE,-,-,CHESTER SPRINGS,PENNSYLVANIA,19425",1.0,0.0,0.0,29.0,40.07660466,40.07660466,2.0,0.0
