IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,hygienist_for_general_med,hygienist_for_general_chip,hygienist_for_pediatric_med,hygienist_for_pediatric_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1936 COTTMAN AVE,PHILADELPHIA,PA,19111-3800",0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,40.05147491,-75.06656511,,,1.0,0.0,,
"1943 SMITH TOWNSHIP STATE RD,BURGETTSTOWN,PA,15021",0.8333333333333333,,0.0,,0.0,,1.6666666666666663,,0.0,,40.35996064,-80.39015636,,,1.0,0.0,,
"1943 SMITH TOWNSHIP STATE RD,BURGETTSTOWN,PA,15021-2433",0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,40.35996064,-80.39015636,,,1.0,0.0,,
"1952 UNIVERSITY DR,CONNELLSVILLE,PA,15425-3806",0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,39.99539665,-79.61095229,,,1.0,0.0,,
"1992 EWINGS MILL RD,CORAOPOLIS,PA,15108-3310",0.07692307692307693,,0.0,,0.0,,0.15384615384615385,,0.0,,40.49031903,-80.1493543,,,1.0,0.0,,
"2 1/2 MARKET ST,BENTON,PA,17814",0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,41.30701642,-76.36118419,,,1.0,0.0,,
"2 AVENUE L,MATAMORAS,PA,18336-1404",1.0,,0.0,,0.0,,2.0,,0.0,,41.37037388,-74.69733872,,,1.0,0.0,,
"2 JIM MOUNTAIN RD,NORMALVILLE,PA,15469-1164",1.0,,0.0,,0.0,,2.0,,0.0,,39.99538624,-79.44551901,,,1.0,0.0,,
"2 PARKWAY CTR,PITTSBURGH,PA,15220-3510",0.16666666666666666,,0.0,,0.3333333333333333,,0.3333333333333333,,0.0,,40.42526623,-80.03994911,,,1.0,0.0,,
"200 BARR HARBOR DR # 400-4079,CONSHOHOCKEN,PA,19428-2977",2.2333333333333334,,0.0,,0.0,,4.466666666666667,,0.0,,40.06924378,-75.30940762,,,1.0,0.0,,
"200 BARR HARBOR DR STE 100-4079,CONSHOHOCKEN,PA,19428-2977",0.25,,0.0,,0.0,,0.5,,0.0,,40.06924378,-75.30940762,,,1.0,0.0,,
"200 BARR HARBOR DR STE 400,W CNSHOHOCKEN,PA,19428-2978",4.2,,0.5,,0.0,,8.4,,1.0,,40.06924378,-75.30940762,,,1.0,0.0,,
"200 BARR HARBOR DR STE 400-407,CONSHOHOCKEN,PA,19428-2977",8.305555555555554,,0.25,,0.25,,16.611111111111107,,0.5,,40.06924378,-75.30940762,,,1.0,0.0,,
"200 BARR HARBOR DR STE 400-408,CONSHOHOCKEN,PA,19428-2977",2.916666666666666,,0.0,,0.0,,5.833333333333332,,0.0,,40.06924378,-75.30940762,,,1.0,0.0,,
"200 E BROWN ST,EAST STROUDSBURG,PA,18301-3006",0.09090909090909093,,0.0,,0.0,,0.18181818181818185,,0.0,,40.99213438,-75.17548712,,,1.0,0.0,,
"201 ARCH ST,MEADVILLE,PA,16335-3443",0.0,,0.0,,0.25,,0.0,,0.0,,41.63726120000001,-80.15520584,,,1.0,0.0,,
"2012 BRIDGE RD,SKIPPACK,PA,19474-0137",1.0,,0.0,,0.0,,2.0,,0.0,,40.221789,-75.38797249,,,1.0,0.0,,
"202 UNION ST STE 3,TITUSVILLE,PA,16354-1166",0.5,,0.0,,0.0,,1.0,,0.0,,41.63315221,-79.67514817,,,1.0,0.0,,
"202 UNION ST,TITUSVILLE,PA,16354-1166",1.5,,0.0,,0.0,,3.0,,0.0,,41.63315221,-79.67514817,,,1.0,0.0,,
"2031 W CHESTNUT ST,WASHINGTON,PA,15301-2641",0.8333333333333333,,0.0,,0.0,,1.6666666666666663,,0.0,,40.16318643,-80.28559552,,,1.0,0.0,,
"20421 ROUTE 19 STE 320,CRANBERRY TWP,PA,16066-7517",0.0,,0.2,,0.0,,0.0,,0.4,,40.69547182,-80.10455613,,,1.0,0.0,,
"20421 ROUTE 19,CRANBERRY TOWNSHIP,PA,16066-7513",0.0,,0.2,,0.0,,0.0,,0.4,,40.69547182,-80.10455613,,,1.0,0.0,,
"20421 ROUTE 19,CRANBERRY TWP,PA,16066-7513",0.0,,0.2,,0.0,,0.0,,0.4,,40.69547182,-80.10455613,,,1.0,0.0,,
"209 HUNTER ST STE 103-4,MEDIA,PA,19063-5700",0.09090909090909093,,0.0,,0.3206349206349206,,0.18181818181818185,,0.0,,39.90971323,-75.4401846,,,1.0,0.0,,
"211 N 12TH ST,LEHIGHTON,PA,18235",0.5,,0.0,,0.0,,1.0,,0.0,,40.83246713,-75.72676863,,,1.0,0.0,,
"2131 NORTHAMPTON ST STE 1,EASTON,PA,18042-3141",0.0,,0.0,,0.3333333333333333,,0.0,,0.0,,40.68907543,-75.24452378,,,1.0,0.0,,
"214 STATE RD,ELWYN,PA,19063-1319",1.0,,0.0,,0.0,,2.0,,0.0,,39.93020813,-75.38099108,,,1.0,0.0,,
"2144 CECIL B MOORE AVE,PHILADELPHIA,PA,19121-4014",3.0,,0.0,,0.5,,6.0,,0.0,,39.98025063,-75.17022517,,,1.0,0.0,,
"2159 WHITE ST STE B118,YORK,PA,17404-4943",1.0,,0.0,,0.0,,2.0,,0.0,,39.96294059,-76.77124207,,,1.0,0.0,,
"2160 NOLL DR STE 300,LANCASTER,PA,17603-7608",0.05555555555555555,,0.17257038204990882,,0.0,,0.1111111111111111,,0.34514076409981764,,40.04756534,-76.36195791,,,1.0,0.0,,
"219 E MAIN ST STE 113,MECHANICSBURG,PA,17055-6541",0.5,,0.0,,0.0,,1.0,,0.0,,40.21452591,-77.00377723,,,1.0,0.0,,
"219 N MAIN ST,PUNXSUTAWNEY,PA,15767-1217",0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,40.945161799999994,-78.99291312,,,1.0,0.0,,
"2215 MARKET ST,WARREN,PA,16365-4656",1.0,,0.0,,0.0,,2.0,,0.0,,41.8718402,-79.15360466,,,1.0,0.0,,
"222 W CUNNINGHAM ST,MIDLAND,PA,15059-1312",0.1111111111111111,,0.0,,0.0,,0.2222222222222222,,0.0,,40.639092,-80.45595349,,,1.0,0.0,,
"2230 N 5TH STREET HWY STE 10,READING,PA,19605-2802",0.020408163265306117,,0.0,,0.0,,0.040816326530612235,,0.0,,40.36899631,-75.92679845,,,1.0,0.0,,
"226 WILLOW VALLEY LAKES DR,WILLOW STREET,PA,17584-9665",0.0,,0.0,,0.3333333333333333,,0.0,,0.0,,39.98704037,-76.2737162,,,1.0,0.0,,
"227 BUSTLETON PIKE,FEASTERVILLE TREVOSE,PA,19053-6448",1.0,,0.0,,0.0,,2.0,,0.0,,40.14179733,-75.00598384,,,1.0,0.0,,
"227 GRANITE RUN DR STE 110,LANCASTER,PA,17601-6813",0.0,,0.0,,1.0,,0.0,,0.0,,40.07618492,-76.33286301,,,1.0,0.0,,
"2299 BRODHEAD RD STE C-1,BETHLEHEM,PA,18020-8908",1.0909090909090908,,2.125,,0.0,,2.1818181818181817,,4.25,,40.677650299999996,-75.37238526,,,1.0,0.0,,
"230 N CRAIG ST,PITTSBURGH,PA,15213-1565",0.0,,0.0,,0.2,,0.0,,0.0,,40.4509017,-79.95137179,,,1.0,0.0,,
"2300 W MASTER ST,PHILADELPHIA,PA,19121-4739",0.75,,0.0,,0.0,,1.5,,0.0,,39.97644466,-75.17421781,,,1.0,0.0,,
"2310 E ALLEGHENY AVE,PHILADELPHIA,PA,19134-4401",0.08333333333333333,,0.0,,0.0,,0.16666666666666666,,0.0,,39.98935896,-75.10713559999998,,,1.0,0.0,,
"2320 DOGWOOD RD,DOVER,PA,17315-4426",1.0,,0.0,,0.0,,2.0,,0.0,,39.98666034,-76.83504467,,,1.0,0.0,,
"2323 CARLISLE RD,YORK,PA,17408-4057",1.0,,0.0,,0.0,,2.0,,0.0,,39.97883679,-76.80010556,,,1.0,0.0,,
"2327 COTTMAN AVE,PHILADELPHIA,PA,19149",0.5,,0.0,,0.0,,1.0,,0.0,,40.04741109,-75.05934881,,,1.0,0.0,,
"235 CIRCLE AVE,LANCASTER,PA,17602-4668",0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,40.0326656,-76.2841894,,,1.0,0.0,,
"2360 HOSPITAL DR STE 7,ALIQUIPPA,PA,15001-2160",0.0,,0.0,,0.0625,,0.0,,0.0,,40.61169569,-80.28645638,,,1.0,0.0,,
"2361 BRISTOL RD,ANDALUSIA,PA,19020-6000",0.0,,0.0625,,0.0,,0.0,,0.125,,40.13163892,-74.92375519,,,1.0,0.0,,
"2361 BRISTOL RD,WARRINGTON,PA,18976",0.0,,0.0,,0.05263157894736842,,0.0,,0.0,,40.2512211,-75.13266772,,,1.0,0.0,,
"237 PENN AVE,SCRANTON,PA,18503-1921",1.0,,0.0,,0.0,,2.0,,0.0,,41.41047741,-75.66533173,,,1.0,0.0,,
"238 FREDERICK ST,HANOVER,PA,17331-3653",1.0,,0.0,,0.0,,2.0,,0.0,,39.79824842,-76.98667653,,,1.0,0.0,,
"239 NORTHERN BLVD STE B,SOUTH ABINGTON TOWNSHIP,PA,18411-9302",0.5,,0.0,,0.0,,1.0,,0.0,,41.46834245,-75.67201551,,,1.0,0.0,,
"239 NORTHERN BLVD,S ABINGTN TWP,PA,18411-9302",0.5,,0.0,,0.0,,1.0,,0.0,,41.46834245,-75.67201551,,,1.0,0.0,,
"24 S 14TH ST # 101,QUAKERTOWN,PA,18951-1147",0.14285714285714285,,0.0,,0.0,,0.2857142857142857,,0.0,,40.44184355,-75.35399836,,,1.0,0.0,,
"242 S HIGHLAND AVE STE 201,PITTSBURGH,PA,15206-3937",4.766666666666667,,0.0,,0.0,,9.533333333333333,,0.0,,40.45771959,-79.92518955,,,1.0,0.0,,
"2471 NAPFLE ST STE 3C,PHILADELPHIA,PA,19152-3855",0.5,,0.0,,0.0,,1.0,,0.0,,40.05238695,-75.05240483,,,1.0,0.0,,
"2471 NAPFLE ST,PHILADELPHIA,PA,19152-3855",0.5,,0.0,,0.0,,1.0,,0.0,,40.05238695,-75.05240483,,,1.0,0.0,,
"2480 S GRANDE BLVD,GREENSBURG,PA,15601-8902",0.2,,0.0,,0.0,,0.4,,0.0,,40.26943872,-79.55806543,,,1.0,0.0,,
"2496 BRODHEAD RD STE D,ALIQUIPPA,PA,15001-4232",0.07692307692307693,,0.0,,0.0,,0.15384615384615385,,0.0,,40.5951437,-80.27378027,,,1.0,0.0,,
"2501 N 3RD ST,HARRISBURG,PA,17110",1.0,,0.0,,0.0,,2.0,,0.0,,40.285699,-76.89879894,,,1.0,0.0,,
"260 NEW YORK DR # 104,FORT WASHINGTON,PA,19034-2515",0.028571428571428567,,0.0,,0.0,,0.057142857142857134,,0.0,,40.13926495,-75.19840943,,,1.0,0.0,,
"2600 W 9TH ST,CHESTER,PA,19013-2040",1.8333333333333333,,0.0,,0.0,,3.6666666666666665,,0.0,,39.83748933,-75.39299007,,,1.0,0.0,,
"2601 E ALLEGHENY AVE FL 1,PHILADELPHIA,PA,19134-5103",1.0,,0.0,,0.0,,2.0,,0.0,,39.98549472,-75.10363992,,,1.0,0.0,,
"2685 KNIGHTS RD,BENSALEM,PA,19020-3406",0.25,,0.0,,0.0,,0.5,,0.0,,40.10082417,-74.95469346,,,1.0,0.0,,
"2690 WILLIAM PENN AVE,JOHNSTOWN,PA,15909-1029",0.5,,0.0,,0.0,,1.0,,0.0,,40.40442498,-78.85557509,,,1.0,0.0,,
"2734 E ALLEGHENY AVE FL 1,PHILADELPHIA,PA,19134-5917",0.5,,0.0,,0.0,,1.0,,0.0,,39.98333082,-75.1017829,,,1.0,0.0,,
"275 WILMINGTON W CHESTER PIKE STE 111,CHADDS FORD,PA,19317-9077",0.0,,0.0,,0.5,,0.0,,0.0,,39.85403265,-75.53958022,,,1.0,0.0,,
"275 WILMINGTON W CHESTER PIKE,CHADDS FORD,PA,19317-9077",0.5,,0.0,,0.0,,1.0,,0.0,,39.85403265,-75.53958022,,,1.0,0.0,,
"2795 SULLIVANS TRL # 92,FALLS,PA,18615-7949",0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,41.44534478,-75.85739772,,,1.0,0.0,,
