id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US20035493400,,"Census Tract 4934, Cowley County, Kansas",32,0,0,0,25,0,10,0,48,0,0,33,128,18,0,0,0,33,0,19,6,17,0,17,18,219,93,0,10,13,20,0,8,0,22,25,0,28,205,116.8,77.2,96,495,
1400000US20035493500,,"Census Tract 4935, Cowley County, Kansas",17,0,47,43,0,15,0,0,65,0,95,61,360,112,0,33,79,17,9,0,0,47,15,5,43,360,0,12,76,20,14,0,0,0,49,44,99,46,454.5,103.9,155.6,349,1063,
1400000US20035493600,,"Census Tract 4936, Cowley County, Kansas",31,52,8,33,0,56,0,22,37,74,19,26,388,38,28,43,0,21,100,0,19,16,61,62,0,356,26,32,15,0,51,50,0,0,70,60,42,10,342,332.2,268.8,159,1102,
1400000US20035493700,,"Census Tract 4937, Cowley County, Kansas",60,0,0,26,18,61,36,0,64,64,0,0,278,58,0,0,0,4,80,9,0,42,55,0,30,298,0,9,0,0,24,39,0,42,95,34,0,55,176,370.4,273.6,85,905,
1400000US20035493800,,"Census Tract 4938, Cowley County, Kansas",0,93,19,43,46,108,0,16,40,54,10,0,388,22,205,24,12,25,11,0,0,40,10,39,0,430,21,37,20,29,64,0,0,30,143,64,15,7,592.5,321.7,261.8,71,1247,
1400000US20035493900,,"Census Tract 4939, Cowley County, Kansas",0,0,16,0,28,0,0,0,86,29,9,48,258,9,0,0,0,0,18,7,2,69,58,45,50,275,6,0,11,0,6,0,0,8,105,54,21,64,59,156,297,237,749,
1400000US20035494000,,"Census Tract 4940, Cowley County, Kansas",0,44,12,51,32,42,0,0,49,47,0,0,106,4,0,6,41,9,7,7,9,23,0,0,0,158,22,0,16,21,0,7,11,0,24,46,0,11,237.5,141.9,150.6,11,541,
1400000US20035494100,,"Census Tract 4941, Cowley County, Kansas",56,10,78,0,47,35,0,5,0,0,3,0,113,0,16,25,0,10,3,0,12,13,24,10,0,86,0,8,0,0,28,14,4,13,10,9,0,0,235.5,137.7,46.8,13,433,
1400000US20037956600,,"Census Tract 9566, Crawford County, Kansas",21,1,28,19,14,7,8,0,110,20,41,0,285,15,7,35,23,10,13,14,3,82,64,10,9,394,17,38,44,16,5,12,21,0,111,107,4,19,278.5,213.7,372.8,83,948,
1400000US20037956700,,"Census Tract 9567, Crawford County, Kansas",1,17,26,51,10,52,0,11,8,58,0,16,317,5,8,26,76,5,23,12,20,63,38,0,41,402,11,9,7,1,0,21,23,135,28,84,12,71,245.5,344.1,239.4,140,969,
