IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_med,X_med,Y_chip,X_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1099 HELMO AVE N STE 200,OAKDALE,MN,55128-6037",1.0,1.0,0.0,0.0,1.0,1.0,44.96538021,-92.95379838,44.96538021,-92.95379838,1,0,0,1
"1099 MOORE LAKE DR E,FRIDLEY,MN,55432-5153",9.166666666666666,8.833333333333332,0.0,0.0,0.0,0.0,45.08068592,-93.24161916,45.08068592,-93.24161916,1,0,0,1
"1099 MOORE LAKE DR E,MINNEAPOLIS,MN,55432",0.3333333333333333,0.5,0.0,0.0,0.0,0.0,45.08068592,-93.24161916,45.08068592,-93.24161916,1,0,0,1
"11 5TH ST S,VIRGINIA,MN,55792",0.006097560975609756,0.006097560975609756,0.0,0.0,0.0,0.0,47.51881511,-92.53130805,47.51881511,-92.53130805,1,0,0,1
"11 SAINT OLAF AVE S,CANBY,MN,56220-1463",0.5,0.3333333333333333,0.0,0.0,0.0,0.0,44.70862089,-96.27666393,44.70862089,-96.27666393,1,0,0,1
"11 ST OLAF AVE S,CANBY,MN,56220",0.25,0.3333333333333333,0.0,0.0,0.0,0.0,44.70862014,-96.27667361,44.70862014,-96.27667361,1,0,0,1
"110 32ND ST S,MOORHEAD,MN,56560",0.02696278604652984,0.027044972198163292,0.0,0.0,0.0,0.0,46.87512659,-96.72993694,46.87512659,-96.72993694,1,0,0,1
"110 5TH ST NW,BRAHAM,MN,55006-3015",1.0,1.0,0.0,0.0,0.0,0.0,45.72931391,-93.17011905,45.72931391,-93.17011905,1,0,0,1
"1100 19TH AVE SW STE 1,WILLMAR,MN,56201-5288",0.0,0.0,0.0,0.0,0.65,0.65,45.10341647,-95.0562908,45.10341647,-95.0562908,1,0,0,1
"1100 19TH AVE SW STE 2,WILLMAR,MN,56201-5288",1.4166666666666663,1.4166666666666663,0.0,0.0,1.6666666666666663,1.6666666666666663,45.10341647,-95.0562908,45.10341647,-95.0562908,1,0,0,1
"1100 19TH AVE SW,WILLMAR,MN,56201",0.0,0.0,0.0,0.0,1.0,1.0,45.10341647,-95.0562908,45.10341647,-95.0562908,1,0,0,1
"1100 19TH AVE SW,WILLMAR,MN,56201-5288",0.0,0.0,0.9333333333333332,0.9333333333333332,0.0,0.0,45.10341647,-95.0562908,45.10341647,-95.0562908,1,0,0,1
"1100 4TH AVE N,PRINCETON,MN,55371-1474",0.03737945271319651,0.03746163886482996,0.0,0.0,0.0,0.0,45.58344564,-93.578423,45.58344564,-93.578423,1,0,0,1
