IKN_addr,general,pediatric,specialist,X,Y,med_indicator,chip_indicator
"10903 DOUGLAS DR N,CHAMPLIN,MN,55316-3554",0.3333333333333333,0.0,0.5,-93.36079943,45.15224399,0,1
"10904 BALTIMORE ST NE STE 100,BLAINE,MN,55449-5062",1.0,0.0,0.0,-93.23327097,45.16871436,0,1
"10906 S SHORE DR,MINNEAPOLIS,MN,55441",1.0,0.0,0.0,-93.41876086,44.98900522,0,1
"10906 S SHORE DR,PLYMOUTH,MN,55441-4919",2.0,0.0,0.0,-93.41876086,44.98900522,0,1
"10945 CLUB WEST PKWY STE 170,BLAINE,MN,55449-6273",0.0,0.0,1.0,-93.22982309,45.16865408,0,1
"1095 HIGHWAY 15 S,HUTCHINSON,MN,55350-5000",0.0,0.0,0.2337662337662338,-94.37550426,44.87566792,0,1
"10961 CLUB WEST PKWY NE,MINNEAPOLIS,MN,55449",1.5,0.0,0.0,-93.22983454,45.16893235,0,1
"10961 CLUB WEST PKWY STE 240,BLAINE,MN,55449-5869",2.5,0.0,0.0,-93.22983454,45.16893235,0,1
"10976 CEDAR LAKE RD,HOPKINS,MN,55305",0.5,0.0,0.0,-93.41595787,44.95300918,0,1
"10976 CEDAR LAKE RD,MINNETONKA,MN,55305-3366",0.5,0.0,0.0,-93.41595787,44.95300918,0,1
"1098 ANDERSEN LN,MINNEAPOLIS,MN,55407-1109",0.022965840545502228,0.0,0.0,-93.25890423,44.95286673,0,1
"1099 E MOORE LAKE DR,MINNEAPOLIS,MN,55432",0.3333333333333333,0.0,0.0,-93.24161916,45.08068592,0,1
"1099 HELMO AVE N STE 200,OAKDALE,MN,55128-6037",1.0,0.0,1.0,-92.95379838,44.96538021,0,1
"1099 MOORE LAKE DR E,FRIDLEY,MN,55432-5153",8.833333333333332,0.0,0.0,-93.24161916,45.08068592,0,1
"1099 MOORE LAKE DR E,MINNEAPOLIS,MN,55432",0.5,0.0,0.0,-93.24161916,45.08068592,0,1
"11 5TH ST S,VIRGINIA,MN,55792",0.006097560975609756,0.0,0.0,-92.53130805,47.51881511,0,1
"11 SAINT OLAF AVE S,CANBY,MN,56220-1463",0.3333333333333333,0.0,0.0,-96.27666393,44.70862089,0,1
"11 ST OLAF AVE S,CANBY,MN,56220",0.3333333333333333,0.0,0.0,-96.27667361,44.70862014,0,1
"110 32ND ST S,MOORHEAD,MN,56560",0.02704497219816329,0.0,0.0,-96.72993694,46.87512659,0,1
"110 5TH ST NW,BRAHAM,MN,55006-3015",1.0,0.0,0.0,-93.17011905,45.72931391,0,1
"1100 19TH AVE SW STE 1,WILLMAR,MN,56201-5288",0.0,0.0,0.65,-95.0562908,45.10341647,0,1
"1100 19TH AVE SW STE 2,WILLMAR,MN,56201-5288",1.4166666666666663,0.0,1.6666666666666663,-95.0562908,45.10341647,0,1
"1100 19TH AVE SW,WILLMAR,MN,56201",0.0,0.0,1.0,-95.0562908,45.10341647,0,1
"1100 19TH AVE SW,WILLMAR,MN,56201-5288",0.0,0.9333333333333332,0.0,-95.0562908,45.10341647,0,1
"1100 4TH AVE N,PRINCETON,MN,55371-1474",0.03746163886482996,0.0,0.0,-93.578423,45.58344564,0,1
"1100 HIGHWAY 25 N STE 1,BUFFALO,MN,55313-2024",1.0,0.0,0.0,-93.87596255,45.18457099,0,1
"11004 CEDAR LAKE RD,HOPKINS,MN,55305",0.0,0.0,0.3333333333333333,-93.41667628,44.95285923,0,1
"1101 1ST ST S STE 3,WILLMAR,MN,56201-3500",2.0,0.0,0.0,-95.04266507,45.11277955,0,1
"1101 1ST ST S,WILLMAR,MN,56201-3592",1.0,0.0,0.6666666666666666,-95.04266507,45.11277955,0,1
"1101 2ND ST S,SARTELL,MN,56377",0.16666666666666666,0.0,0.0,-94.22810342,45.61555646,0,1
"1101 BROADWAY AVE N,ROCHESTER,MN,55906-6841",0.0,0.0,0.5,-92.4630487,44.03423699,0,1
"1101 N BROADWAY,ROCHESTER,MN,55906",0.0,0.0,0.5,-92.4630487,44.03423699,0,1
"110650 VILLAGE RD,CHASKA,MN,55318-1354",0.05598015738334848,0.0,0.0,-93.6091897,44.82549209,0,1
"1108 WESTERN AVE,FERGUS FALLS,MN,56537",1.0,0.0,0.0,-96.11838075,46.29435241,0,1
"1109 MOORE LAKE DR E,FRIDLEY,MN,55432-5171",0.3859649122807017,0.0,0.0,-93.23994717,45.08164095,0,1
"11091 JASON AVE NE STE 3,ALBERTVILLE,MN,55301-4703",3.661824434032125,0.0,0.0,-93.66551163,45.22471752,0,1
"11091 JASON AVE NE,ALBERTVILLE,MN,55301",0.02325581395348837,0.0,0.0,-93.66551163,45.22471752,0,1
"111 HUNDERTMARK RD STE 304N,CHASKA,MN,55318-1587",1.625,1.3333333333333333,0.0,-93.60118449,44.81957898,0,1
"111 MAIN AVE W,DEER RIVER,MN,56636-8757",2.0,0.0,0.0,-93.79889851,47.33531046,0,1
"111 RIVERFRONT STE 201,WINONA,MN,55987-3456",0.0,0.0,2.0,-91.63353887,44.05347799,0,1
"111 STAR ST,MANKATO,MN,56001",1.0,0.0,0.0,-93.96049570000001,44.16777814,0,1
"1111 HIGHWAY 73,MOOSE LAKE,MN,55767",1.0,0.0,0.0,-92.77235807,46.45451892,0,1
"1114 E 23RD ST,HIBBING,MN,55746-1968",0.05598015738334848,0.0,0.0,-92.92792219,47.42409951,0,1
"11183 205TH ST W,LAKEVILLE,MN,55044",1.0,0.0,0.0,-93.29156247,44.65284348,0,1
"112 7TH AVE S,SOUTH SAINT PAUL,MN,55075-2202",0.3958333333333333,0.0,0.0,-93.04248125,44.890137,0,1
"112 SAINT OLAF AVE S,CANBY,MN,56220-1433",0.3333333333333333,0.0,0.0,-96.27766985,44.70772369,0,1
"112 W MAIN ST,CROSBY,MN,56441-1424",1.25,0.0,0.0,-93.95489634,46.48234303,0,1
"1120 15TH AVE S,SAINT CLOUD,MN,56301-5405",0.02704497219816329,0.0,0.0,-94.16858084,45.54750139,0,1
"1120 BIRCH ST,FAIRMONT,MN,56031",0.5,0.0,0.0,-94.4501547,43.64182182,0,1
"1120 BIRCH ST,FAIRMONT,MN,56031-4418",0.5,0.0,0.0,-94.4501547,43.64182182,0,1
"1121 2ND ST S STE 102,SARTELL,MN,56377-2190",2.6666666666666665,0.0,0.0,-94.22923088,45.61557251,0,1
"1121 2ND ST S,SARTELL,MN,56377",0.8333333333333333,0.0,0.0,-94.22923088,45.61557251,0,1
"1121 E 46TH ST,MINNEAPOLIS,MN,55407-3562",0.012549173878835564,0.0,0.0,-93.25847364,44.91962131,0,1
"1121 PEBBLE LAKE RD,FERGUS FALLS,MN,56537-3807",4.383333333333333,0.0,0.0,-96.05668287,46.27230579,0,1
"1121 SE 4TH AVE,GRAND RAPIDS,MN,55744-3956",2.0,0.0,0.0,-93.5233134,47.21931922,0,1
"1121 TOWN CENTRE DR STE 200,EAGAN,MN,55123-1217",0.3333333333333333,0.0,0.0,-93.14842581,44.8313494,0,1
"1121 TOWN CENTRE DR,SAINT PAUL,MN,55123",0.3333333333333333,0.0,0.0,-93.14842581,44.8313494,0,1
"11237 FOLEY BLVD NW,COON RAPIDS,MN,55448-3389",1.3333333333333333,0.0,0.0,-93.27653501,45.17436549,0,1
"11240 STILLWATER BLVD N,LAKE ELMO,MN,55042-9321",1.3646091297919298,0.0,0.0,-92.87759617,45.00354089,0,1
"1125 SILVER LAKE RD NW,NEW BRIGHTON,MN,55112-6324",0.5,0.0,0.0,-93.21845547,45.06679945,0,1
