,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
298,1400000US40017301006,"Census Tract 3010.06, Canadian County, Oklahoma",0,0,10,0,0,25,0,0,16,20,38,18,230,0,0,41,0,0,47,0,0,93,26,0,23,316,4,0,71,0,0,50,0,0,11,68,76,36,126,134,222,191,673,
299,1400000US40017301007,"Census Tract 3010.07, Canadian County, Oklahoma",58,0,0,0,9,65,62,9,148,85,96,125,548,8,0,0,42,36,59,61,40,111,113,43,35,331,0,0,0,30,0,12,0,0,89,86,62,52,183,342.8,597.2,413,1536,
300,1400000US40017301008,"Census Tract 3010.08, Canadian County, Oklahoma",0,0,13,0,113,0,0,15,68,146,83,95,772,0,0,13,0,40,22,0,45,53,219,132,248,522,0,0,0,104,26,14,0,0,77,74,72,155,309,115.8,617.2,785,1827,
302,1400000US40017301009,"Census Tract 3010.09, Canadian County, Oklahoma",0,0,7,0,74,0,8,0,111,86,113,133,437,43,0,0,0,78,0,18,0,128,28,25,117,484,139,0,0,0,0,41,0,0,65,17,92,130,341,97.4,404.6,610,1453,
583,1400000US40017301100,"Census Tract 3011, Canadian County, Oklahoma",0,0,19,0,46,54,19,28,186,88,82,112,757,35,0,38,0,98,35,0,17,159,103,50,222,463,20,28,54,0,50,0,0,0,134,71,44,62,388,200.9,693.1,572,1854,
577,1400000US40017301201,"Census Tract 3012.01, Canadian County, Oklahoma",108,0,55,54,10,31,0,10,50,23,16,15,413,43,0,87,13,0,8,8,11,121,53,13,56,266,36,0,11,0,16,0,0,0,148,7,14,34,433,99.9,370.1,148,1051,
579,1400000US40017301202,"Census Tract 3012.02, Canadian County, Oklahoma",7,0,0,0,0,24,0,52,60,7,22,18,223,7,22,0,16,0,0,0,19,78,28,3,50,394,0,29,33,0,41,31,0,45,142,30,0,43,155,199,317,136,807,
575,1400000US40017301300,"Census Tract 3013, Canadian County, Oklahoma",25,16,0,13,0,0,0,17,88,64,51,158,533,26,18,0,12,0,17,0,29,50,121,31,229,479,35,18,0,36,0,0,0,19,32,43,108,188,199,99,381,765,1444,
578,1400000US40017301406,"Census Tract 3014.06, Canadian County, Oklahoma",13,10,11,61,0,17,0,18,136,44,6,70,337,13,42,0,0,0,10,0,10,81,24,132,25,533,0,0,10,0,0,20,0,0,93,106,232,72,160,106,453,537,1256,
303,1400000US40017301407,"Census Tract 3014.07, Canadian County, Oklahoma",11,74,9,14,19,22,0,7,98,81,41,70,597,13,18,0,16,0,0,0,0,127,159,119,145,550,0,0,0,0,0,0,0,19,149,136,139,107,174,85.4,712.6,621,1593,
