BOD_addr,general,pediatric,specialist,Latitude,Longitude
"11479 HIGHLAND RD STE A,HARTLAND,MI,483532709",1.0,0.0,0.0,42.63550049,-83.73514359
"1148 LEXINGTON BLVD,JACKSON,MI,49201",0.0,0.0,1.0,42.18330274,-84.44010165
"11499 HIGHLAND RD,HARTLAND,MI,48353",2.0,0.0,0.0,42.63560933,-83.73430309
"11499 HIGHLAND RD,HARTLAND,MI,483532709",0.0,0.0,1.0,42.63560933,-83.73430309
"115 ARBOR LANE,ALPENA,MI,49707",1.0,0.0,0.0,45.07789884,-83.46032246
"115 FIELDCREST ST #303,ANN ARBOR,MI,48103",1.0,0.0,0.0,42.2519124,-83.75156590000002
"11525 HIGHLAND RD,SUITE 12,HARTLAND,MI,48353",1.0,0.0,0.0,42.63575083,-83.73321043
"11536 MONTEREY DRIVE,BELLEVILLE,MI,48111",1.0,0.0,0.0,42.21711370000001,-83.4590213
"1155 EAST LONG LAKE RD #8,TROY,MI,48085",1.0,0.0,0.0,42.592824,-83.1266312
"1156 WINDING WAY,MILFORD,MI,48381",0.0,0.0,1.0,42.5755669,-83.60973059999998
"11570 SUMPTER ROAD,SOUTH LYON,MI,48178",1.0,0.0,0.0,42.46311693,-83.71754744
"1161 SHOEMAKER DRIVE,WESTLAND,MI,48185",0.0,0.0,2.0,42.3174715,-83.38631435
"11638 PLYMOUTH WOODS DR,LIVONIA,MI,48150",1.0,0.0,0.0,42.36968093,-83.42319613
"11650 SHIPPEY LANE,RAPID CITY,MI,49676",1.0,0.0,0.0,44.8330504,-85.28922145
"11654 ONEIDA ROAD,GRAND LEDGE,MI,48837",1.0,0.0,0.0,42.73680220000001,-84.776701
"11698 YORKSHIRE DR,RICHLAND,MI,49083",1.0,0.0,0.0,42.35015123,-85.40172959
"117 S KINNEY AVE,MOUNT PLEASANT,MI,48858",1.0,0.0,0.0,43.60371053,-84.77040752
"117 S KINNEY AVE,MT. PLEASANT,MI,48858",1.0,0.0,0.0,43.60371053,-84.77040752
"11742 HERBERT AVE,WARREN,MI,48089",1.0,0.0,0.0,42.4871404,-83.0046508
"1175 HARROW CIRCLE,BLOOMFIELD HILLS,MI,48304",0.0,0.0,1.0,42.5562294,-83.2164929
"1175 THOMAS EDISON DRIVE,PORT HURON,MI,48060",0.0,0.0,1.0,42.99519033,-82.42863614
