idx,BOD_addr,general,hygienist,pediatric,specialist,med_indicator,chip_indicator,hygienist_for_general,hygienist_for_pediatric
155,"105 Carnegie Place, Suite 109, Fayetteville GA  30214",1.0,0.0,0.0,0.0,0,0,2.0,0.0
156,"105 Carnegie Place, Suite 113, Fayetteville GA  30214",0.0,0.0,0.0,1.0,0,0,0.0,0.0
157,"105 Dallas Rd., Villa Rica GA  30180",1.0,0.0,0.0,0.0,0,0,2.0,0.0
158,"105 Dover Chase, Tyrone GA  30290",1.0,0.0,0.0,0.0,0,0,2.0,0.0
159,"105 Highland Avenue, Cornelia GA  30531",1.0,0.0,0.0,0.0,0,0,2.0,0.0
160,"105 Mayo St, Americus GA  31709",1.0,0.0,0.0,0.0,0,0,2.0,0.0
161,"105 Mayo Street, Americus GA  31709",1.0,0.0,0.0,0.0,0,0,2.0,0.0
162,"105 N Cedar Creek rd, Cordele GA  31015",1.0,0.0,0.0,0.0,0,0,2.0,0.0
163,"105 Natalie Court, Savannah GA  31410",1.0,0.0,0.0,0.0,0,0,2.0,0.0
164,"105 Parker Drive Suite A, Lagrange GA  30240",1.0,0.0,0.0,0.0,0,0,2.0,0.0
165,"105 SO. TIBBS RD., Dalton GA  30720",1.0,0.0,0.0,0.0,0,0,2.0,0.0
166,"105 Tillinghast Trace, Newnan GA  30265",1.0,0.0,0.0,0.0,0,0,2.0,0.0
167,"105 Wigton Place, Alpharetta GA  30004",1.0,0.0,0.0,0.0,0,0,2.0,0.0
168,"1050 Eagles Landing Parkway, Suite 100, Stockbridge GA  30281",1.0,0.0,0.0,0.0,0,0,2.0,0.0
169,"1050 Jordan Lane, Alpharetta GA  30004",2.0,0.0,0.0,0.0,0,0,4.0,0.0
170,"1050 Lane Creek Circle, Bishop GA  30621",1.0,0.0,0.0,0.0,0,0,2.0,0.0
171,"1050 Shiloh Rd, suite 206, Kennesaw GA  30144",1.0,0.0,0.0,0.0,0,0,2.0,0.0
172,"10515 White Bluff Rd., Savannah GA  31406",1.0,0.0,0.0,0.0,0,0,2.0,0.0
173,"1055 Peninsula Crossing, Evans GA  30809",0.0,0.0,0.0,1.0,0,0,0.0,0.0
174,"106 Corporate Plaza Drive, Lagrange GA  30241",1.0,0.0,0.0,0.0,0,0,2.0,0.0
175,"106 Dockside Drive, Clarkesville GA  30523",0.0,0.0,0.0,1.0,0,0,0.0,0.0
176,"106 E. Willingham Street, Sylvester GA  31791",1.0,0.0,0.0,0.0,0,0,2.0,0.0
177,"106 West Cove Drive, Newnan GA  30263",1.0,0.0,0.0,0.0,0,0,2.0,0.0
178,"1060 Cambridge Square, Suite#E, Alpharetta GA  30009",2.0,0.0,0.0,0.0,0,0,4.0,0.0
179,"1060 Gaines School Road, Suite B 1, Athens GA  30605",1.0,0.0,0.0,0.0,0,0,2.0,0.0
180,"1061 Big A Road, Toccoa GA  30577",1.0,0.0,0.0,0.0,0,0,2.0,0.0
181,"1061 S. Big A Road, Toccoa GA  30577",1.0,0.0,0.0,0.0,0,0,2.0,0.0
182,"1066 Bermuda Run Road, Statesboro GA  30458",1.0,0.0,0.0,0.0,0,0,2.0,0.0
183,"1067 McCalla St NE, Conyers GA  30012",1.0,0.0,0.0,0.0,0,0,2.0,0.0
184,"10694 Weir Way, Alpharetta GA  30022",1.0,0.0,0.0,0.0,0,0,2.0,0.0
185,"107 Drennon Drive, Jesup GA  31545",0.0,0.0,0.0,1.0,0,0,0.0,0.0
186,"107 Live Oak Lane, Milledgeville GA  31061",1.0,0.0,0.0,0.0,0,0,2.0,0.0
187,"107 Marlow Dr., Woodstock GA  30188",1.0,0.0,0.0,0.0,0,0,2.0,0.0
188,"107 Meadow Lane, Calhoun GA  30701",1.0,0.0,0.0,0.0,0,0,2.0,0.0
189,"107 Sherwood Drive, P O Box 1926, Clarkesville GA  30523",1.0,0.0,0.0,0.0,0,0,2.0,0.0
190,"107 West Paces Ferry Road, NW, Atlanta GA  30305",1.0,0.0,0.0,0.0,0,0,2.0,0.0
191,"107 Westwind Dr, Pooler GA  31322",1.0,0.0,0.0,0.0,0,0,2.0,0.0
192,"1070 Woodlawn Dr., Suite 100, Marietta GA  30068",1.0,0.0,0.0,0.0,0,0,2.0,0.0
193,"1070 Woodlawn Drive, Suite 250, Marietta GA  30068",1.0,0.0,0.0,0.0,0,0,2.0,0.0
194,"10700 Medlock Bridge Rd, Suite 202, Johns Creek GA  30097",1.0,0.0,0.0,0.0,0,0,2.0,0.0
195,"10700 Medlock Bridge Road, Suite 202, Duluth GA  30097",1.0,0.0,0.0,0.0,0,0,2.0,0.0
196,"1071 Brush Arbor Circle, McDonough GA  30253",1.0,0.0,0.0,0.0,0,0,2.0,0.0
197,"10710 Medlock Bridge Rd., Suite 101, Duluth GA  30097",1.0,0.0,0.0,0.0,0,0,2.0,0.0
198,"10710 Medlock Bridge Road, Suite 101, Duluth GA  30097",1.0,0.0,0.0,0.0,0,0,2.0,0.0
199,"10749 Alpharetta Hwy, Roswell GA  30076",1.0,0.0,0.0,0.0,0,0,2.0,0.0
200,"1075 Atagahi Trail, Macon GA  31220",1.0,0.0,0.0,0.0,0,0,2.0,0.0
201,"1075 Cooper Rd, Suite 101, Grayson GA  30017",1.0,0.0,0.0,0.0,0,0,2.0,0.0
202,"1075 Lee Circle, Atlanta GA  30324",1.0,0.0,0.0,0.0,0,0,2.0,0.0
203,"1075 Peachtree Walk NE, A-417, Atlanta GA  30309",1.0,0.0,0.0,0.0,0,0,2.0,0.0
204,"1076 Northside Drive E, Statesboro GA  30458",1.0,0.0,0.0,0.0,0,0,2.0,0.0
205,"1076 Northside Drive East, Statesboro GA  30458",1.0,0.0,0.0,0.0,0,0,2.0,0.0
206,"1077 Nathan Dean Bypass, Rockmart GA  30153",1.0,0.0,0.0,0.0,0,0,2.0,0.0
207,"1078 lumpkin campground road, suit #300, Dawsonville GA  30534",1.0,0.0,0.0,0.0,0,0,2.0,0.0
208,"108 Bluebird Court, Saint Marys GA  31558",1.0,0.0,0.0,0.0,0,0,2.0,0.0
209,"108 Executive Avenue, Carrollton GA  30117",0.0,0.0,0.0,1.0,0,0,0.0,0.0
210,"108 Gentilly Road, Statesboro GA  30458",1.0,0.0,0.0,0.0,0,0,2.0,0.0
211,"108 Goette Trail, Savannah GA  31410",1.0,0.0,0.0,0.0,0,0,2.0,0.0
212,"108 Highland Avenue, Cornelia GA  30531",0.0,0.0,0.0,1.0,0,0,0.0,0.0
213,"108 Holly Drive, Warner Robins GA  31088",1.0,0.0,0.0,0.0,0,0,2.0,0.0
214,"1080 Fieldstone Trail, Milton GA  30004",0.0,0.0,0.0,1.0,0,0,0.0,0.0
215,"1080 Peachtree Street, Unit 2604, Atlanta GA  30309",1.0,0.0,0.0,0.0,0,0,2.0,0.0
216,"109 Hickory Knoll, Cumming GA  30040",1.0,0.0,0.0,0.0,0,0,2.0,0.0
217,"109 Lakehill Way, DOUGLASVILLE GA  30134",0.0,0.0,0.0,1.0,0,0,0.0,0.0
218,"109 Powers Ferry Road, Marietta GA  30067",1.0,0.0,0.0,0.0,0,0,2.0,0.0
219,"1090 Vanessa Ave, Bogart GA  30622",1.0,0.0,0.0,0.0,0,0,2.0,0.0
220,"1090 Vanessa Ave, Watkinsville GA  30677",1.0,0.0,0.0,0.0,0,0,2.0,0.0
221,"1091 Osborn Road, Statham GA  30666",1.0,0.0,0.0,0.0,0,0,2.0,0.0
222,"1091 Overlook Parkway, Apt 532, Macon GA  31210",1.0,0.0,0.0,0.0,0,0,2.0,0.0
223,"1091 Park Dr. Suite A, Watkinsville GA  30677",0.0,0.0,1.0,0.0,0,0,0.0,2.0
224,"1091 Riverhaven Lane, Watkinsville GA  30677",1.0,0.0,0.0,0.0,0,0,2.0,0.0
225,"1092 Bluffhaven Way NE, Atlanta GA  30319",1.0,0.0,0.0,0.0,0,0,2.0,0.0
226,"1092 Wynford Commons SW, Airdrie, Alberta, Marietta GA  30064",1.0,0.0,0.0,0.0,0,0,2.0,0.0
227,"10930 Chabapple Rd, Suite 160, Roswell GA  30075",0.0,0.0,0.0,1.0,0,0,0.0,0.0
228,"10930 Crabapple Rd Ste 160, Roswell GA  30075",1.0,0.0,0.0,1.0,0,0,2.0,0.0
229,"10930 Crabapple Rd, Suite 140, Roswell GA  30075",0.0,0.0,0.0,1.0,0,0,0.0,0.0
230,"10930 Crabapple Road, Suite 140, Roswell GA  30075",2.0,0.0,0.0,0.0,0,0,4.0,0.0
231,"10930 Crabapple Road, Suite 160, Roswell GA  30075",0.0,0.0,0.0,1.0,0,0,0.0,0.0
232,"10930 Crabapple Road, Suite 240, Roswell GA  30075",1.0,0.0,0.0,0.0,0,0,2.0,0.0
233,"10955 Jones Bridge Rd., Suite 129, Alpharetta GA  30022",2.0,0.0,0.0,0.0,0,0,4.0,0.0
234,"1096 West Ave., Suite A, Conyers GA  30012",1.0,0.0,0.0,0.0,0,0,2.0,0.0
235,"1096 West Avenue, Conyers GA  30012",2.0,0.0,0.0,0.0,0,0,4.0,0.0
236,"11 Buford Village Way, Suite 111, Buford GA  30518",1.0,0.0,0.0,0.0,0,0,2.0,0.0
237,"11 Business Center Drive, Suite 105, Eastanollee GA  30538",0.0,0.0,0.0,1.0,0,0,0.0,0.0
238,"11 Perimeter Center East, #2304, Atlanta GA  30346",1.0,0.0,0.0,0.0,0,0,2.0,0.0
239,"11 Professional Drive, Brunswick GA  31520",1.0,0.0,0.0,0.0,0,0,2.0,0.0
240,"110 Bastille Way, Fayetteville GA  30214",1.0,0.0,0.0,0.0,0,0,2.0,0.0
241,"110 Executive Dr, Carrollton GA  30117",0.0,0.0,0.0,1.0,0,0,0.0,0.0
242,"110 Executive Dr., Carrollton GA  30117",1.0,0.0,0.0,0.0,0,0,2.0,0.0
243,"110 Glen Eagle Way, McDonough GA  30253",1.0,0.0,0.0,0.0,0,0,2.0,0.0
244,"110 Kia Drive, Lagrange GA  30241",1.0,0.0,0.0,0.0,0,0,2.0,0.0
245,"110 Office Park Lane, Suite 104, Saint Simons Island GA  31522",1.0,0.0,0.0,0.0,0,0,2.0,0.0
246,"110 Payton Loriane Dr, Powder Springs GA  30127",1.0,0.0,0.0,0.0,0,0,2.0,0.0
247,"110 Professional Center Drive, Brunswick GA  31525",1.0,0.0,0.0,0.0,0,0,2.0,0.0
