id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,,
1400000US13017960100,,"Census Tract 9601, Ben Hill County, Georgia",10,25,42,0,0,6,0,14,48,41,12,13,238,61,11,49,0,0,15,9,19,42,20,8,4,241,18,24,0,32,5,0,0,15,64,61,13,9,274.5,157.5,199,59,690,,
1400000US13017960200,,"Census Tract 9602, Ben Hill County, Georgia",27,0,0,0,0,0,10,0,18,0,0,5,122,24,0,0,0,0,0,0,0,71,12,3,12,111,0,23,0,0,0,0,0,0,46,6,34,2,74,77.5,85.5,56,293,,
1400000US13017960300,,"Census Tract 9603, Ben Hill County, Georgia",18,69,0,0,0,12,0,0,75,0,0,0,225,35,0,0,0,23,11,32,0,99,10,3,12,314,12,0,117,24,0,0,85,0,53,10,13,0,286.5,265,133.5,28,713,,
1400000US13017960400,,"Census Tract 9604, Ben Hill County, Georgia",88,112,0,0,26,0,12,15,34,9,47,0,524,136,246,50,0,0,35,0,48,0,9,0,0,598,65,242,108,0,54,38,32,0,8,11,31,9,1087,241,50,87,1465,,
1400000US13017960500,,"Census Tract 9605, Ben Hill County, Georgia",0,118,0,0,0,0,0,56,15,171,0,0,253,0,120,0,0,12,0,0,27,45,25,0,24,533,159,119,16,0,0,71,0,0,114,25,16,13,538,247,308,53,1146,,
1400000US13019970100,,"Census Tract 9701, Berrien County, Georgia",16,0,25,0,8,11,0,23,26,0,0,7,148,19,11,23,0,47,6,0,22,20,0,0,0,150,23,0,25,0,0,7,0,5,55,5,30,0,169.5,152,55.5,37,414,,
1400000US13019970200,,"Census Tract 9702, Berrien County, Georgia",28,76,61,34,56,0,17,0,54,25,0,0,407,20,3,96,47,65,0,43,0,31,9,30,63,378,32,6,20,91,40,26,23,0,35,0,38,67,594.5,249.5,94,198,1136,,
1400000US13019970300,,"Census Tract 9703, Berrien County, Georgia",0,19,0,0,0,17,0,0,47,33,0,0,164,9,7,0,0,0,18,0,0,90,30,10,0,284,0,17,25,71,0,26,0,0,75,42,8,20,148,167,211,38,564,,
1400000US13019970400,,"Census Tract 9704, Berrien County, Georgia",150,0,0,0,39,0,13,0,22,25,0,0,233,73,10,0,25,38,0,0,0,87,0,0,0,217,95,39,0,0,8,0,0,0,37,30,0,8,434.5,128.5,128,8,699,,
1400000US13019970500,,"Census Tract 9705, Berrien County, Georgia",0,0,8,28,24,85,0,76,27,10,0,0,186,0,82,0,0,0,12,0,0,92,0,0,0,316,133,13,14,19,0,56,0,0,0,16,34,31,309,300.5,85.5,65,760,,
