County_ID,County_Name,State_ID,State_Name,n^M_i,n^H_i,n^U_i,n^O_i,p_i,PREDICTED_DEMAND,STATE_FIPS,COUNTY_FIPS,County_Population_2010,RUCC_2013,NUM_DENTISTS,ACCEPTS_MED,ACCEPTS_CHIP,ACCEPTS_MED_CHIP,ONLY_PRIVATE,NUM_GENERALIST,NUM_SPECIALIST,NUM_PEDIATRITION,NUM_MED_GENERALIST,NUM_MED_SPECIALIST,NUM_MED_PEDIATRITION,NUM_CHIP_GENERALIST,NUM_CHIP_SPECIALIST,NUM_CHIP_PEDIATRITION,NUM_MED_CHIP_GENERALIST,NUM_MED_CHIP_SPECIALIST,NUM_MED_CHIP_PEDIATRITION,PUBLIC_DENTIST_RATIO,PREDICTED_SUPPLY,PUBLIC_AVAILABILITY_RATIO,label
71,Johnson County,5,Arkansas,2987,1125.92,1601.08,619,6333,6.625695733,5,71,0,7,8,6,6,6,2,8,0,0,6,0,0,6,0,0,6,0,0,0.75,1.32,0.199224361,0
73,Lafayette County,5,Arkansas,620,255,208,223,1306,1.255797774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,Lawrence County,5,Arkansas,1305,616.92,1384.08,349,3655,3.833487941,5,75,0,6,4,3,3,3,1,4,0,0,3,0,0,3,0,0,3,0,0,0.75,0.66,0.172166969,0
77,Lee County,5,Arkansas,914,189.48,404.52,212,1720,1.748608534,5,77,0,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Lincoln County,5,Arkansas,966,440.96,633.04,315,2355,2.365491651,5,79,0,3,3,2,2,2,1,3,0,0,2,0,0,2,0,0,2,0,0,0.666666667,0.44,0.186007843,4
81,Little River County,5,Arkansas,1013,421.92,724.08,472,2631,2.503478664,5,81,0,3,3,3,3,3,0,3,0,0,3,0,0,3,0,0,3,0,0,1,0.66,0.263633164,4
83,Logan County,5,Arkansas,2163,790.48,1199.52,548,4701,4.815630798,5,83,0,6,5,4,4,4,1,5,0,0,4,0,0,4,0,0,4,0,0,0.8,0.88,0.182738261,0
85,Lonoke County,5,Arkansas,4791,3044.16,6279.84,4548,18663,16.36711503,5,85,0,2,21,12,12,12,9,20,1,0,11,1,0,11,1,0,11,1,0,0.571428571,2.42,0.147857457,2
87,Madison County,5,Arkansas,1408,685.48,1158.52,486,3738,3.770871985,5,87,0,2,4,2,2,2,2,4,0,0,2,0,0,2,0,0,2,0,0,0.5,0.44,0.116683887,4
89,Marion County,5,Arkansas,1410,432.12,768.88,370,2981,3.027597403,5,89,0,9,3,2,2,2,1,3,0,0,2,0,0,2,0,0,2,0,0,0.666666667,0.44,0.145329759,0
91,Miller County,5,Arkansas,4885,1346.12,2508.88,1466,10206,10.13450835,5,91,0,3,12,4,4,4,8,11,0,1,3,0,1,3,0,1,3,0,1,0.333333333,1.5,0.148009153,5
93,Mississippi County,5,Arkansas,6184,1433.72,2243.28,1379,11240,11.4343692,5,93,0,4,14,8,8,8,6,13,0,1,7,0,1,7,0,1,7,0,1,0.571428571,2.38,0.208144407,5
95,Monroe County,5,Arkansas,900,170.44,319.56,86,1476,1.611781076,5,95,0,7,2,2,2,2,0,2,0,0,2,0,0,2,0,0,2,0,0,1,0.44,0.272989928,0
97,Montgomery County,5,Arkansas,610,342.72,526.28,191,1670,1.714981447,5,97,0,8,3,3,3,3,0,3,0,0,3,0,0,3,0,0,3,0,0,1,0.66,0.384843813,0
99,Nevada County,5,Arkansas,925,481.44,423.56,39,1869,2.121985158,5,99,0,7,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0.22,0.103676503,0
101,Newton County,5,Arkansas,514,313.44,683.56,39,1550,1.752087199,5,101,0,9,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0.22,0.125564527,0
103,Ouachita County,5,Arkansas,2871,865,1261,430,5427,5.794294991,5,103,0,7,9,8,8,8,1,8,1,0,7,1,0,7,1,0,7,1,0,0.888888889,1.54,0.265778667,0
105,Perry County,5,Arkansas,1130,173.04,686.96,304,2294,2.307513915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,Phillips County,5,Arkansas,3034,506.56,1112.44,270,4923,5.395408163,5,107,0,6,3,2,2,2,1,3,0,0,2,0,0,2,0,0,2,0,0,0.666666667,0.44,0.081550827,0
109,Pike County,5,Arkansas,974,404.76,637.24,300,2316,2.337662338,5,109,0,9,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Poinsett County,5,Arkansas,2934,804.12,1374.88,400,5513,5.92880334,5,111,0,3,3,3,3,3,0,3,0,0,3,0,0,3,0,0,3,0,0,1,0.66,0.111320947,4
113,Polk County,5,Arkansas,2303,931.16,1114.84,318,4667,5.042903525,5,113,0,7,5,2,2,2,3,5,0,0,2,0,0,2,0,0,2,0,0,0.4,0.44,0.087251322,0
115,Pope County,5,Arkansas,5734,2242.12,3641.88,2631,14249,13.47170686,5,115,0,5,31.5,16.5,16.5,16.5,15,26.5,2,3,12.5,1,3,12.5,1,3,12.5,1,3,0.523809524,5.27,0.391190222,-1
117,Prairie County,5,Arkansas,603,366.04,404.96,268,1642,1.5932282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,Pulaski County,5,Arkansas,36282,13099.56,20323.44,21354,91059,80.82676252,5,119,0,2,296,103,103,103,193,247,39.5,9.5,78,16.5,8.5,78,16.5,8.5,78,16.5,8.5,0.347972973,24.3,0.300642995,-1
