id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US45003022002,,"Census Tract 220.02, Aiken County, South Carolina",23,0,76,5,15,4,27,11,106,137,0,152,595,25,0,60,0,15,23,32,0,57,120,34,229,368,0,3,40,21,0,55,69,13,56,94,11,6,262,283.47,541.53,432,1519,
1400000US45003022100,,"Census Tract 221, Aiken County, South Carolina",2,0,9,0,16,4,0,0,19,19,5,6,292,81,0,10,4,54,10,0,0,37,68,22,6,338,40,0,46,26,15,18,0,0,47,109,24,13,243.5,104.89,285.61,76,710,
1400000US45003980100,,"Census Tract 9801, Aiken County, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1400000US45005970200,,"Census Tract 9702, Allendale County, South Carolina",45,0,87,0,0,44,40,22,0,0,0,0,389,109,45,60,11,51,27,0,0,73,0,13,0,303,80,65,0,22,19,72,0,0,32,0,0,13,545,267.65,91.35,26,930,
1400000US45005970300,,"Census Tract 9703, Allendale County, South Carolina",0,0,0,24,0,0,0,0,13,2,0,7,116,0,3,0,4,0,53,0,30,26,0,0,0,81,0,0,0,17,0,0,0,58,6,0,0,0,48,146.85,41.15,7,243,
1400000US45005970400,,"Census Tract 9704, Allendale County, South Carolina",106,0,22,0,24,0,0,0,17,39,19,0,86,26,0,14,0,0,0,29,0,0,0,10,7,264,52,0,0,0,54,17,0,5,0,136,0,0,243.4,107.81,189.79,36,577,
1400000US45007001000,,"Census Tract 10, Anderson County, South Carolina",0,0,0,9,0,13,0,0,17,36,29,15,82,0,0,0,31,0,5,0,0,22,0,0,24,134,0,0,0,0,0,19,0,0,102,0,0,13,40,55.33,158.67,81,335,
1400000US45007010102,,"Census Tract 101.02, Anderson County, South Carolina",0,45,0,0,134,0,0,0,60,102,55,128,477,0,31,0,0,0,0,0,42,113,96,67,128,508,0,30,0,0,0,0,20,0,22,193,33,210,146.2,181.15,560.65,621,1509,
1400000US45007010103,,"Census Tract 101.03, Anderson County, South Carolina",101,29,45,81,0,0,0,0,116,208,280,124,859,0,54,90,23,18,0,0,18,44,98,319,195,891,85,0,251,0,40,0,0,18,138,171,37,151,776.4,115.34,736.26,1106,2734,
1400000US45007010104,,"Census Tract 101.04, Anderson County, South Carolina",9,13,0,0,15,0,0,0,132,177,15,88,844,8,15,0,0,86,123,0,39,186,261,31,95,783,48,0,0,20,14,57,0,158,134,185,47,120,147.5,516.26,1016.24,396,2076,
1400000US45007010200,,"Census Tract 102, Anderson County, South Carolina",43,0,0,31,16,42,0,0,123,123,50,42,505,0,0,0,0,35,0,0,31,77,157,24,181,465,0,10,32,0,35,117,0,59,66,9,25,112,141.8,343.78,520.42,434,1440,
1400000US45007010300,,"Census Tract 103, Anderson County, South Carolina",29,3,4,17,43,11,0,0,36,8,7,0,339,44,94,4,38,35,10,13,0,36,65,0,0,445,0,103,52,3,23,52,1,25,106,11,69,0,421.3,205.84,238.86,76,942,
