id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US30029000202,,"Census Tract 2.02, Flathead County, Montana",0,0,0,0,55,18,0,0,15,0,0,108,141,0,0,33,0,13,0,0,0,13,29,16,37,249,0,0,16,0,18,0,0,0,81,78,45,11,92,132.94,144.06,217,586,
1400000US30029000203,,"Census Tract 2.03, Flathead County, Montana",0,40,0,0,21,0,0,0,0,55,9,47,313,32,0,14,29,10,116,0,0,57,24,31,0,497,58,88,32,33,27,32,0,0,141,0,36,50,355,307.68,146.32,173,982,
1400000US30029000300,,"Census Tract 3, Flathead County, Montana",0,0,0,65,157,0,0,0,0,25,67,75,174,0,0,0,21,0,0,34,0,0,0,91,28,75,0,0,0,10,0,0,0,0,0,13,14,38,174.5,112.5,38,313,638,
1400000US30029000401,,"Census Tract 4.01, Flathead County, Montana",37,0,0,0,15,13,0,0,94,110,54,44,472,13,0,0,0,76,0,0,20,97,86,31,149,356,17,0,0,0,38,0,0,23,28,31,26,193,131.5,265.04,301.46,497,1195,
1400000US30029000402,,"Census Tract 4.02, Flathead County, Montana",0,0,0,49,43,0,0,0,17,128,0,42,337,68,0,34,0,7,0,0,75,0,61,0,92,179,42,0,20,0,7,12,0,74,0,11,0,13,241.5,200.72,205.78,147,795,
1400000US30029000601,,"Census Tract 6.01, Flathead County, Montana",29,0,11,39,0,0,0,0,39,47,25,76,408,10,0,21,96,0,7,0,0,45,64,53,112,494,33,0,0,14,0,15,0,0,126,155,45,106,253,160.6,337.4,417,1168,
1400000US30029000602,,"Census Tract 6.02, Flathead County, Montana",3,4,35,5,16,20,18,0,67,40,13,18,267,2,32,32,0,19,8,3,6,71,37,24,33,258,11,9,18,11,11,0,12,21,72,24,36,33,185,249.6,172.4,157,764,
1400000US30029000700,,"Census Tract 7, Flathead County, Montana",0,0,39,218,113,77,0,57,124,5,0,20,471,0,0,76,114,37,0,0,44,134,59,0,7,467,0,0,67,108,38,0,0,0,95,95,33,31,716,504.98,279.02,91,1591,
1400000US30029000800,,"Census Tract 8, Flathead County, Montana",0,0,0,0,83,0,0,27,95,155,73,82,836,0,0,113,0,27,66,0,39,77,167,196,151,727,46,0,79,0,15,10,0,26,71,91,69,320,300.5,390.88,495.62,891,2078,
1400000US30029000900,,"Census Tract 9, Flathead County, Montana",112,50,54,56,0,18,63,0,214,16,0,14,578,74,80,35,218,0,15,14,0,30,60,18,34,793,99,125,16,100,0,20,10,0,246,131,17,29,1019,463.4,373.6,112,1968,
