,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
660,1400000US32003001501,"Census Tract 15.01, Clark County, Nevada",58,0,0,29,17,21,0,29,0,0,22,0,197,0,54,0,54,9,21,0,50,9,0,0,0,114,23,24,0,33,0,0,0,0,34,0,0,0,288,136.15,40.85,22,487,
365,1400000US32003001502,"Census Tract 15.02, Clark County, Nevada",85,0,27,0,0,0,0,0,0,95,0,0,326,57,0,0,0,0,0,104,0,102,63,0,0,166,47,0,0,0,0,0,0,0,0,119,0,0,216,109.1,373.9,0,699,
161,1400000US32003001607,"Census Tract 16.07, Clark County, Nevada",0,0,157,32,0,48,0,0,73,0,0,48,196,60,0,0,55,0,31,4,0,38,8,0,0,262,60,0,68,51,0,0,31,0,35,17,0,0,483,121.3,163.7,48,816,
492,1400000US32003001608,"Census Tract 16.08, Clark County, Nevada",0,19,19,0,19,13,0,0,0,0,0,0,98,0,9,5,0,19,22,0,0,13,20,10,0,100,8,31,6,0,0,0,0,0,32,23,0,0,116,56.25,85.75,10,268,
259,1400000US32003001609,"Census Tract 16.09, Clark County, Nevada",0,37,46,0,22,22,0,40,44,9,0,32,282,0,74,21,0,43,11,0,0,82,36,0,15,325,0,0,19,0,44,0,0,36,171,25,16,14,251.5,178.35,352.15,77,859,
177,1400000US32003001610,"Census Tract 16.10, Clark County, Nevada",23,0,0,0,53,21,15,0,6,38,28,0,358,9,13,43,0,139,25,40,5,47,31,0,6,272,7,0,37,0,21,16,89,5,69,22,0,6,238.5,328.6,206.9,40,814,
178,1400000US32003001611,"Census Tract 16.11, Clark County, Nevada",117,61,0,29,10,0,42,23,35,66,0,0,393,54,52,0,25,18,23,21,46,68,86,0,0,323,47,107,38,0,0,30,20,0,37,37,0,7,544,226,322,7,1099,
261,1400000US32003001612,"Census Tract 16.12, Clark County, Nevada",71,0,75,116,157,66,0,0,163,14,0,0,254,0,0,0,18,92,0,0,46,98,0,0,0,679,110,0,0,138,94,86,0,46,205,0,0,0,699.5,438.8,456.7,0,1595,
508,1400000US32003001613,"Census Tract 16.13, Clark County, Nevada",13,28,25,14,0,41,0,4,86,3,4,18,270,0,30,0,0,33,0,13,14,177,3,0,0,412,24,34,0,8,43,9,53,9,202,0,0,30,214,204.25,447.75,52,918,
536,1400000US32003001706,"Census Tract 17.06, Clark County, Nevada",0,7,47,0,0,0,0,0,5,48,0,46,208,0,7,40,0,0,0,0,0,0,161,0,0,113,0,0,70,0,0,0,0,0,0,33,10,0,171,0.25,246.75,56,474,
